tasks,ours_ms,naive_ms,speedup
10000,0.360,1.188,3.3
30000,0.354,3.261,9.2
70000,0.322,4.473,13.9
100000,0.382,8.462,22.1
300000,0.457,19.700,43.1
700000,0.591,111.517,188.6
1000000,0.368,91.392,248.1
3000000,0.398,464.542,1167.8
7000000,1.553,1731.166,1114.7
10000000,1.850,2523.934,1364.5
