elapsed_s,acked,enqueued,eligible_backlog,claim_p99_ms,loop_p99_ms
1,2773,23598,290,20.0,50.0
2,5258,43354,577,20.0,100.0
3,9254,72426,1014,20.0,100.0
4,12003,93033,1334,20.0,100.0
5,15148,116548,1690,20.0,100.0
6,17546,136372,1995,20.0,100.0
