elapsed_s,acked,enqueued,eligible_backlog,claim_p99_ms,loop_p99_ms
1,10826,17483,0,50.0,100.0
2,23843,33894,1,50.0,100.0
3,38771,51937,2,50.0,100.0
4,54533,70646,0,50.0,100.0
5,69531,88119,3,50.0,100.0
6,84957,106736,1,50.0,100.0
